Inventaire?,N° réf,Jeux,Classification ludothèque COL,COL adapté 1,COL adapté 2,Etat,Âge,Duree,Nbre de joueurs,Thème,Prix neuf,Jeton(s),A vendre?,Poids,Nbre de cartes,Dimension cartes,don provenance?,Date d'entrée,trictrac,titre officiel,annee de sortie,illustrateur,image_editeur,auteur,,editeur,description,caractéristique,mécanisme,Commentaires,Année de rentrée,Enfants / Adultes,Manque,Inventaire,dernier inventaire,liens vers video régles
ok,314,Quarto,R,COM,COM,Bon,8,15,2,Abstrait,25,2,,,,,,06-10-2017,,,,,,Blaise Muller,,Gigamic,,,,,2017-2018,Adultes,,1 plateau; 16 piéce en bois; 1 sac; 1 régle,09/08/2019,
ok,315,Perlatette,R,EQU,ADR,Bon,6,15,2 - 5,Fantasy,30,2,,,,,,06-10-2017,,,,Rolf Vogt,,Marco Teubner,,Sentosphère,,,,,2017-2018,Enfants,1 jeton baie,1 plateau; 8 arbres; 24 tuiles object; 20 étoiles; 108 baies; 10 cartes lutin; 1 sablier; 4 boutons; 4 blocs de mousse; 1 sorciere; 1 chapeau; 1 sac,01/08/2019,
ok,316,Train Lillabo ,S,MIS,MIS,Bon,2,0,1,Véhicules,90,3,,,,,,06-10-2017,,,,,,,,Ikea,,,,,2017-2018,Enfants,,"136 piéces circuits; 13 véhicules , + 8 pieces détachables véhicules",12/08/2019,
ok,317,Garage Lillabo,S,MIS,MIS,Bon,2,0,1,Véhicules,22,2,,,,,,06-10-2017,,,,,https://www.ikea.com/fr/fr/assembly_instructions/lillabo-garage-avec-depanneuse__AA-923856-1_pub.pdf,,,Jeux Opla,,,,,2017-2018,Enfants,,1 rampe; 5 cotés; 2 portes; 1 fond et 1 dessus; 4 vehicule,12/08/2019,
ok,318,Lit poupon Duktig,S,ROL,ROL,Bon,2,0,1,Famille,15,1,,,,,,06-10-2017,,,,,,,,,,,,,2017-2018,Enfants,,"1 lit, 1 oreillet; 1 drap; 1 couverture",12/08/2019,
ok,319,Lit poupon Duktig,S,ROL,ROL,Bon,2,0,1,Famille,15,1,,,,,,06-10-2017,,,,,,,,,,,,,2017-2018,Enfants,,"1 lit, 1 oreillet; 1 drap; 1 couverture",12/08/2019,
ok,320,Chiens Gosig Golden,S,ROL,ROL,Bon,1,0,1,Animaux ,30,2,,,,,,06-10-2017,,,,,,,,Ikea,,,,,2017-2018,Enfants,,2 chiens,12/08/2019,
ok,321,Hochets Leka,E,SEN,SEN,Bon,0,0,1,Petite enfance,15,1,,,,,,06-10-2017,,,,,,,,ikea,,,,,2017-2018,Enfants,1 hochets,5 hochets + 1 winnie,12/08/2019,
ok,322,Tapis Leka,E,SEN,SEN,Bon,0,0,1,Petite enfance,30,2,,,,,,06-10-2017,,,,,,,,Ikea,,,,,2017-2018,Enfants,,1 tapis,12/08/2019,
ok,323,Terraforming Mars,R,REF,REF,Bon,12,90 - 120,1 - 5 ,Science Fiction,49.9,3,,,,,,18-01-2018,,,,,,Jacob Fryxelius,,Intrafin,,,,,2017-2018,Adultes,,1 livret; 1 plateau; 200 cubes joueurs (transparent); 200 cubes ressources; 5 plateaux indiv: 233 cartes; 80 tuiles;3 marqueurs; 1 marqueur 1er joueur,09/08/2019,
ok,324,Monster Propre,R,ADR,ADR,Bon,7,15,2 - 5,Monstres,22.5,2,,,,,,06-09-2016,,,,,,,,Haba,,,,,2016-2017,Enfants,,regles ; 48 cartes monstres ;  40 pinces à linges; 12 pinces dorée; 1 fils à linges,30/07/2019,
ok,325,Hop le j'ton,R,ADR,ADR,Bon,6,15,2 - 4,Ecole,19.5,1,,,,,F. Toscano,11-06-2017,,,,,,Florent Toscano,,Opla,,,,,2016-2017,Adultes,,regles ; 49 jetons,30/07/2019,
